,dataset,k,Average Mean Error,Average stdDev
230,3,18,2.1795684777608315,2.2684782613069667
231,3,19,2.1728370847472687,2.267712310178905
232,3,20,2.1706971894259435,2.2746932719781228
233,3,21,2.163314723499401,2.270397910934165
234,3,22,2.156330946614494,2.2652444408337837
235,3,23,2.148814427958572,2.265617947861475
236,3,24,2.1390281088723793,2.2633931432313523
237,3,25,2.132973420718616,2.2607115276870555
238,3,26,2.13174360621686,2.2640414744072683
239,3,27,2.1287336111983466,2.268747901201048
240,3,28,2.1273823606598152,2.2754133297471415
241,3,29,2.126408209687161,2.2787968179528795
242,3,30,2.126699186648113,2.2878618934839765
243,3,31,2.124842443748427,2.294412756618821
244,3,32,2.1233729587257266,2.3033087982313747
245,3,33,2.1237262394552117,2.3091423881852267
246,3,34,2.1215543271015536,2.3144227770532
247,3,35,2.121303047152111,2.322581310834283
248,3,36,2.1207681977739337,2.329209058208953
249,3,37,2.121383582272479,2.33327671475532
250,3,38,2.1209131005651267,2.337533705686069
251,3,39,2.120214136944444,2.343546291828422
252,3,40,2.121588113900943,2.3485110933954823
253,3,41,2.12181615893005,2.3517768207369887
254,3,42,2.1244445777802476,2.357778388175428
255,3,43,2.127118626626956,2.3648036735145888
256,3,44,2.1296664183895078,2.3713521124994243
257,3,45,2.1308511266283707,2.3789948746452505
258,3,46,2.1343314113206175,2.384532541916762
259,3,47,2.1367294119086035,2.3916435804125786
260,3,48,2.1402860906962786,2.397509412139177
261,3,49,2.143781311264407,2.4040265474592686
262,3,50,2.1453476604584902,2.409646840871471
263,3,51,2.1480289439848312,2.4151306567981803
264,3,52,2.150952576136429,2.4176763850986562
265,3,53,2.153759520043431,2.424234881959124
266,3,54,2.15481111587893,2.428366208859141
267,3,55,2.1567111151536875,2.431832243567696
268,3,56,2.160084222735792,2.436257257305331
269,3,57,2.162584402066313,2.441926286758014
270,3,58,2.164074450326555,2.445491619310689
271,3,59,2.1670472092278006,2.450462709268975
272,3,60,2.169803867887421,2.453901922297843
273,3,61,2.171938433052788,2.458948293797855
274,3,62,2.175865179539866,2.46426717183577
275,3,63,2.1782869113650287,2.4670531422928548
276,3,64,2.1814162159856516,2.4701886341270782
277,3,65,2.185646567712046,2.473836884429701
278,3,66,2.1891363100348284,2.477398486359199
279,3,67,2.1912724951944518,2.479108894046724
280,3,68,2.194641196994958,2.4834798284845645
281,3,69,2.199456597257815,2.4854707264771707
282,3,70,2.202688049198247,2.4889158208501394
283,3,71,2.2054832002933815,2.4947236987254953
284,3,72,2.2081296361125515,2.4982200726976678
285,3,73,2.2105930264008777,2.4994834062761613
286,3,74,2.215710077902047,2.5042174553935648
287,3,75,2.2185528928204183,2.5061534843774704
288,3,76,2.2209570197999,2.5096020276714297
289,3,77,2.2233883128142193,2.5118272983681047
290,3,78,2.2251761657313733,2.5148851873617573
291,3,79,2.227254803109465,2.519090810831969
292,3,80,2.2299649790289293,2.52212078993492
293,3,81,2.2323273125843994,2.5250406005510655
294,3,82,2.2343711570325193,2.52816338974425
295,3,83,2.2355529199965503,2.5306336859577954
296,3,84,2.2373429414054717,2.5329716760247365
297,3,85,2.2394747722420263,2.5352164108235216
298,3,86,2.2424417866399717,2.5392648402985953
299,3,87,2.244065896325561,2.5411147458158916
300,3,88,2.2458036721377557,2.543204505467412
301,3,89,2.2470775070457547,2.5461850169410187
302,3,90,2.250206379340495,2.549243413711816
303,3,91,2.2529318892928316,2.552036178376631
304,3,92,2.2557967082597745,2.5553472256540433
305,3,93,2.2581453219309178,2.5588921269030025
306,3,94,2.2613765187409998,2.5612298385029417
307,3,95,2.264268943945481,2.5648770073994025
308,3,96,2.266154577719272,2.567451716112921
309,3,97,2.267910043216007,2.570898085141044
310,3,98,2.2699050793912514,2.573515984501957
311,3,99,2.273193179203226,2.577249402053793
312,3,100,2.2754185588142124,2.578751251885755
313,3,101,2.2781511379617023,2.5819643532117422
314,3,102,2.280073176920981,2.584041085504026
315,3,103,2.2833106260284834,2.5866164302425623
316,3,104,2.2850568100438124,2.588210378371072
317,3,105,2.287852800097423,2.591063485315867
318,3,106,2.290187288826657,2.594035836034418
319,4,1,2.905871415332547,3.3412569918619837
320,4,2,2.5830036822311317,2.8120165531317696
321,4,3,2.48019710652044,2.5869342932119994
322,4,4,2.43019798257783,2.517106307676114
323,4,5,2.3953258482990565,2.506133438115677
324,4,6,2.375727813996855,2.4960525380839873
325,4,7,2.3557640514615903,2.4729541503675962
326,4,8,2.334904210535672,2.466170533296264
327,4,9,2.3074227277523582,2.443480261174669
328,4,10,2.2909892575125,2.4123911367901387
329,4,11,2.2670907050896227,2.3693573195296067
330,4,12,2.2469922561961475,2.3409966661059824
331,4,13,2.225862709181785,2.3180392014371356
332,4,14,2.214759444241408,2.3033155068775
333,4,15,2.201418869629559,2.2889529283254975
334,4,16,2.191615226072376,2.282530424870624
335,4,17,2.185780217023307,2.273558794809367
336,4,18,2.1791657494167977,2.2665288230864507
337,4,19,2.1724930374487337,2.267108216504839
338,4,20,2.169621070332547,2.2747542889161325
339,4,21,2.1643954896718327,2.272221595938583
340,4,22,2.1582926988510933,2.2706962042032655
341,4,23,2.150598353134331,2.271794487744786
342,4,24,2.1420653614572522,2.271172489015453
343,4,25,2.1350854091677354,2.2679428866485827
344,4,26,2.134670873248548,2.2699814432499217
345,4,27,2.1318656791724315,2.274737721158357
346,4,28,2.13043386901811,2.281870108406461
347,4,29,2.1284307063449903,2.2858325251756924
348,4,30,2.1297111000794025,2.294930156651435
349,4,31,2.1281363006881464,2.3012772495557385
350,4,32,2.126882407087116,2.3104765947698396
351,4,33,2.1259955566440825,2.3152046450450134
352,4,34,2.1245326757942564,2.317938211579571
353,4,35,2.123931179591576,2.325056764348087
354,4,36,2.1233416195985972,2.331100169322928
355,4,37,2.123360700093128,2.3337454530894703
356,4,38,2.1231692342513027,2.339516054717142
357,4,39,2.122089962387759,2.3452109744169407
358,4,40,2.1232305450768862,2.3504415093132947
359,4,41,2.1232293312059363,2.355288923219176
360,4,42,2.1257734759632743,2.361607972997752
361,4,43,2.127981222379168,2.367765177964343
362,4,44,2.130593209288486,2.375421249895634
363,4,45,2.132112828669706,2.382797019070901
